Date,ADA-USD,AVAX-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,TON11419-USD,USDT-USD,XRP-USD
2024-08-07,346795316,285635733,1883200228,41637562185,1000135339,24264218606,5529725414,317840619,72320106597,4286385926
2024-08-08,326623648,296564441,1790085695,45298472567,858015369,23468291180,5385642745,1109450650,73383041658,3502679662
2024-08-09,275869404,237335760,1565495419,33425553115,602450305,17907141655,3217916997,773702524,55251256632,2024450473
2024-08-10,155114866,133818907,1394699693,15745822278,371267774,9361014219,1662980960,315349202,31042565436,1134054567
2024-08-11,203353395,189436264,1563057068,22759754812,676944256,13595441987,2411765937,297913216,41909131618,1202704291
2024-08-12,276146893,241874343,1786263873,37078637820,778786434,21653090666,3380174341,499242246,63275431596,1479740403
2024-08-13,208538494,189686139,1757981177,30327698167,575505923,16383053029,2224488388,319093948,51440569199,1245896255
2024-08-14,206602286,179944462,1604400640,29961696180,564943505,15825365408,2714536693,689758696,52144724490,1138569808
2024-08-15,243240095,241013187,1645936961,35682112440,617034813,16345801912,3032770371,450312244,56751936622,1163264081
2024-08-16,333621595,182512415,1538941515,29350938673,539609334,13275561555,2707615564,500857409,49001060836,1021214646
2024-08-17,164578014,101104215,1554176167,13589684021,305545333,6676568717,1199702073,185786009,27396981274,481701399
2024-08-18,147715225,151064030,1458218557,17740625837,377630490,9207267415,1866239536,338142536,34966981759,633645481
2024-08-19,205948260,165359094,1721716619,25911207712,463249309,11968963282,2077549615,431458568,46796006984,1592288724
2024-08-20,232812455,283519502,2062353969,31613400008,695089222,13249483464,2124392770,260402957,53591125880,1275196279
2024-08-21,369934783,293546446,1887431524,32731154072,509933481,12766015263,1923259439,281602542,53113473486,1185128571
2024-08-22,253221746,342253539,1998394415,27625734377,391690266,10723280428,1368400829,246630587,45673020568,943673179
2024-08-23,360713833,487111253,2037288685,42530509233,860650259,16857181970,2560976300,258048301,66435913915,1254262512
2024-08-24,259095804,340043251,1954023736,21430585163,673199379,11765811307,2749419604,1312472219,46227369084,1116629037
2024-08-25,271365361,305158503,1681089758,18827683555,584876309,9375535539,2085078554,1807572281,40361519650,871698521
2024-08-26,288310031,303438100,1818728257,27682040631,560759055,12282035835,2588808155,991748884,51030197598,1118813356
2024-08-27,307613758,321291989,1853530701,39103882198,615156838,18028996056,2783392784,703687795,65120597214,1420370240
2024-08-28,316985233,333317595,1861040561,40289564698,657073357,20359545410,2932401182,1434235826,69866785923,1341866722
2024-08-29,263189476,274417039,1577402536,32224990582,461885564,13946434277,2098251665,363616609,51557558279,986899081
2024-08-30,297382538,242434308,1598876190,32292756405,572514236,15526218255,2683385690,266361962,53462688174,1103086708
2024-08-31,120909139,120764897,1284869085,12403470760,303734469,6646876013,892155699,197346618,24536311364,463303089
2024-09-01,212136963,225766458,1498350087,24592449997,424515197,11800443265,1974170865,209379464,40816634044,681339684
2024-09-02,232651288,184335608,1653356892,27036454524,463950026,12520444224,2092221241,218904191,45617837521,833537275
2024-09-03,228558971,173297593,1559458476,26666961053,395659305,11406800197,1787700523,275350664,43284063635,814841749
2024-09-04,320645799,222847327,1898187560,35627680312,579587111,16709600747,2663812153,373830881,57499396611,1106776733
2024-09-05,302516707,159690610,1468645986,31030280656,452927311,13632325040,1926178088,348076659,47219392114,894618427
2024-09-06,341107574,305777164,1860035342,49361693566,802922234,25825618367,3520537699,398077456,76063648537,1511246618
2024-09-07,171441808,138843987,1358748616,19061486526,412044016,11124608320,1321261949,162608199,34349157560,560729553
2024-09-08,212278974,236441927,1378399660,18268287531,381739751,10718443487,1317794291,186735328,32754298136,509773155
